product_id,date,base_price,current_price,traffic_views,units_sold,day_of_week,inventory_level,promotion_flag
1,2023-04-01,67.55,60.41,127,47,5,212,0
1,2023-04-02,67.55,59.29,142,57,6,155,0
1,2023-04-03,67.55,59.01,202,71,0,84,0
1,2023-04-04,67.55,58.12,262,84,1,772,0
1,2023-04-05,67.55,59.19,278,100,2,672,0
1,2023-04-06,67.55,57.76,238,80,3,592,0
1,2023-04-07,67.55,57.9,172,67,4,525,0
1,2023-04-08,67.55,54.04,327,134,5,391,1
1,2023-04-09,67.55,54.86,147,58,6,333,0
1,2023-04-10,67.55,54.55,209,81,0,252,0
1,2023-04-11,67.55,55.74,271,94,1,158,0
1,2023-04-12,67.55,54.62,288,110,2,349,0
1,2023-04-13,67.55,53.85,246,96,3,253,0
1,2023-04-14,67.55,53.7,178,67,4,186,0
1,2023-04-15,67.55,55.17,136,53,5,133,0
1,2023-04-16,67.55,55.35,152,61,6,72,0
1,2023-04-17,67.55,54.2,216,72,0,451,0
1,2023-04-18,67.55,52.76,280,115,1,336,0
1,2023-04-19,67.55,51.37,297,125,2,211,0
1,2023-04-20,67.55,49.98,254,106,3,105,0
1,2023-04-21,67.55,51.24,184,64,4,612,0
1,2023-04-22,67.55,52.66,140,57,5,555,0
1,2023-04-23,67.55,51.67,157,65,6,490,0
1,2023-04-24,67.55,52.21,223,109,0,381,0
1,2023-04-25,67.55,51.02,289,118,1,263,0
1,2023-04-26,67.55,50.24,307,131,2,132,0
1,2023-04-27,67.55,50.6,262,109,3,537,0
1,2023-04-28,67.55,50.8,190,71,4,466,0
1,2023-04-29,67.55,50.07,145,66,5,400,0
1,2023-04-30,67.55,49.51,162,72,6,328,0
1,2023-05-01,67.55,48.41,229,104,0,224,0
1,2023-05-02,67.55,48.29,298,118,1,106,0
1,2023-05-03,67.55,49.55,316,106,2,304,0
1,2023-05-04,67.55,51.03,270,99,3,205,0
1,2023-05-05,67.55,49.72,195,86,4,119,0
1,2023-05-06,67.55,49.02,149,74,5,822,0
1,2023-05-07,67.55,47.75,166,66,6,756,0
1,2023-05-08,67.55,47.285,236,97,0,659,0
1,2023-05-09,67.55,47.41,306,133,1,526,0
1,2023-05-10,67.55,48.79,324,132,2,394,0
1,2023-05-11,67.55,48.87,277,103,3,291,0
1,2023-05-12,67.55,49.03,200,85,4,206,0
1,2023-05-13,67.55,47.86,152,60,5,146,0
1,2023-05-14,67.55,47.285,170,76,6,70,0
1,2023-05-15,67.55,47.97,241,70,0,379,0
1,2023-05-16,67.55,48.27,313,150,1,229,0
1,2023-05-17,67.55,47.41,331,134,2,95,0
1,2023-05-18,67.55,47.285,283,95,3,550,0
1,2023-05-19,67.55,48.44,205,93,4,457,0
1,2023-05-20,67.55,48.83,156,59,5,398,0
1,2023-05-21,67.55,47.49,174,76,6,322,0
1,2023-05-22,67.55,47.285,246,118,0,204,0
1,2023-05-23,67.55,47.285,319,120,1,84,0
1,2023-05-24,67.55,47.87,338,84,2,587,0
1,2023-05-25,67.55,54.04,722,294,3,293,1
1,2023-05-26,67.55,55.28,209,87,4,206,0
1,2023-05-27,67.55,55.43,159,56,5,150,0
1,2023-05-28,67.55,55.7,177,62,6,88,0
1,2023-05-29,67.55,54.45,251,88,0,457,0
1,2023-05-30,67.55,55.86,325,130,1,327,0
1,2023-05-31,67.55,54.32,344,139,2,188,0
1,2023-06-01,67.55,54.91,293,119,3,69,0
1,2023-06-02,67.55,54.43,212,69,4,586,0
1,2023-06-03,67.55,54.12,161,65,5,521,0
1,2023-06-04,67.55,53.0,180,74,6,447,0
1,2023-06-05,67.55,54.16,254,95,0,352,0
1,2023-06-06,67.55,55.17,330,149,1,203,0
1,2023-06-07,67.55,53.6,349,145,2,58,0
1,2023-06-08,67.55,53.06,297,58,3,776,0
1,2023-06-09,67.55,53.6,215,90,4,686,0
1,2023-06-10,67.55,52.79,163,61,5,625,0
1,2023-06-11,67.55,53.43,182,78,6,547,0
1,2023-06-12,67.55,51.95,257,115,0,432,0
1,2023-06-13,67.55,51.01,333,129,1,303,0
1,2023-06-14,67.55,50.55,352,158,2,145,0
1,2023-06-15,67.55,51.68,300,127,3,432,0
1,2023-06-16,67.55,54.04,542,231,4,201,1
1,2023-06-17,67.55,53.48,164,76,5,125,0
1,2023-06-18,67.55,54.98,183,71,6,54,0
1,2023-06-19,67.55,55.45,259,54,0,504,0
1,2023-06-20,67.55,56.59,336,120,1,384,0
1,2023-06-21,67.55,54.99,355,131,2,253,0
1,2023-06-22,67.55,54.2,302,120,3,133,0
1,2023-06-23,67.55,55.77,218,87,4,365,0
1,2023-06-24,67.55,55.55,165,66,5,299,0
1,2023-06-25,67.55,54.93,184,77,6,222,0
1,2023-06-26,67.55,54.97,261,103,0,119,0
1,2023-06-27,67.55,55.22,337,119,1,430,0
1,2023-06-28,67.55,54.04,890,348,2,82,1
1,2023-06-29,67.55,54.1,303,82,3,712,0
1,2023-06-30,67.55,54.81,219,91,4,621,0
1,2023-07-01,67.55,55.37,166,60,5,561,0
1,2023-07-02,67.55,53.94,185,67,6,494,0
1,2023-07-03,67.55,53.39,261,109,0,385,0
1,2023-07-04,67.55,54.5,337,131,1,254,0
1,2023-07-05,67.55,53.85,356,151,2,103,0
1,2023-07-06,67.55,53.55,303,103,3,506,0
1,2023-07-07,67.55,53.72,219,87,4,419,0
1,2023-07-08,67.55,54.25,166,61,5,358,0
1,2023-07-09,67.55,55.06,184,64,6,294,0
1,2023-07-10,67.55,55.29,261,99,0,195,0
1,2023-07-11,67.55,56.4,337,139,1,56,0
1,2023-07-12,67.55,55.42,355,56,2,702,0
1,2023-07-13,67.55,55.93,302,106,3,596,0
1,2023-07-14,67.55,55.74,218,86,4,510,0
1,2023-07-15,67.55,55.65,165,66,5,444,0
1,2023-07-16,67.55,56.64,184,66,6,378,0
1,2023-07-17,67.55,55.23,259,103,0,275,0
1,2023-07-18,67.55,55.67,335,131,1,144,0
1,2023-07-19,67.55,56.73,353,124,2,704,0
1,2023-07-20,67.55,56.08,300,120,3,584,0
1,2023-07-21,67.55,54.89,216,89,4,495,0
1,2023-07-22,67.55,54.04,410,178,5,317,1
1,2023-07-23,67.55,54.4,182,78,6,239,0
1,2023-07-24,67.55,54.25,257,91,0,148,0
1,2023-07-25,67.55,54.5,332,122,1,693,0
1,2023-07-26,67.55,54.48,350,144,2,549,0
1,2023-07-27,67.55,54.99,297,122,3,427,0
1,2023-07-28,67.55,54.04,535,222,4,205,1
1,2023-07-29,67.55,54.92,162,83,5,122,0
1,2023-07-30,67.55,54.67,180,74,6,438,0
1,2023-07-31,67.55,55.31,254,109,0,329,0
1,2023-08-01,67.55,55.5,328,138,1,191,0
1,2023-08-02,67.55,54.24,345,144,2,415,0
1,2023-08-03,67.55,54.79,293,113,3,302,0
1,2023-08-04,67.55,55.1,211,88,4,214,0
1,2023-08-05,67.55,56.39,160,58,5,156,0
1,2023-08-06,67.55,57.13,177,67,6,89,0
1,2023-08-07,67.55,58.26,250,89,0,580,0
1,2023-08-08,67.55,57.07,323,125,1,455,0
1,2023-08-09,67.55,56.9,340,155,2,300,0
1,2023-08-10,67.55,58.06,289,93,3,207,0
1,2023-08-11,67.55,59.03,207,82,4,125,0
1,2023-08-12,67.55,58.11,157,52,5,73,0
1,2023-08-13,67.55,58.85,174,63,6,430,0
1,2023-08-14,67.55,58.21,246,101,0,329,0
1,2023-08-15,67.55,56.95,317,122,1,207,0
1,2023-08-16,67.55,57.61,333,116,2,91,0
1,2023-08-17,67.55,56.1,283,91,3,508,0
1,2023-08-18,67.55,55.99,203,83,4,425,0
1,2023-08-19,67.55,57.11,154,55,5,370,0
1,2023-08-20,67.55,58.03,171,66,6,304,0
1,2023-08-21,67.55,56.36,240,93,0,211,0
1,2023-08-22,67.55,56.62,310,113,1,98,0
1,2023-08-23,67.55,58.12,326,98,2,452,0
1,2023-08-24,67.55,59.35,277,108,3,344,0
1,2023-08-25,67.55,59.06,199,62,4,282,0
1,2023-08-26,67.55,59.22,150,57,5,225,0
1,2023-08-27,67.55,58.23,167,59,6,166,0
1,2023-08-28,67.55,58.01,235,95,0,71,0
1,2023-08-29,67.55,54.04,755,71,1,472,1
1,2023-08-30,67.55,55.01,318,124,2,348,0
1,2023-08-31,67.55,56.13,270,109,3,239,0
1,2023-09-01,67.55,57.75,194,79,4,160,0
1,2023-09-02,67.55,59.16,146,49,5,111,0
1,2023-09-03,67.55,59.74,162,58,6,53,0
1,2023-09-04,67.55,59.48,228,53,0,743,0
1,2023-09-05,67.55,57.88,294,106,1,637,0
1,2023-09-06,67.55,56.88,309,136,2,501,0
1,2023-09-07,67.55,57.77,262,103,3,398,0
1,2023-09-08,67.55,58.64,188,63,4,335,0
1,2023-09-09,67.55,57.77,142,58,5,277,0
1,2023-09-10,67.55,56.1,158,71,6,206,0
1,2023-09-11,67.55,57.78,222,91,0,115,0
1,2023-09-12,67.55,58.3,285,95,1,719,0
1,2023-09-13,67.55,56.69,300,111,2,608,0
1,2023-09-14,67.55,54.04,635,280,3,328,1
1,2023-09-15,67.55,55.14,183,68,4,260,0
1,2023-09-16,67.55,54.28,138,57,5,203,0
1,2023-09-17,67.55,53.02,153,65,6,138,0
1,2023-09-18,67.55,52.91,215,80,0,58,0
1,2023-09-19,67.55,52.49,276,58,1,610,0
1,2023-09-20,67.55,53.27,291,86,2,524,0
1,2023-09-21,67.55,54.29,246,90,3,434,0
1,2023-09-22,67.55,53.01,177,70,4,364,0
1,2023-09-23,67.55,54.04,332,120,5,244,1
1,2023-09-24,67.55,54.62,148,66,6,178,0
1,2023-09-25,67.55,54.28,208,73,0,105,0
1,2023-09-26,67.55,52.9,267,104,1,654,0
1,2023-09-27,67.55,52.08,281,116,2,538,0
1,2023-09-28,67.55,51.46,238,109,3,429,0
1,2023-09-29,67.55,52.4,171,61,4,368,0
1,2023-09-30,67.55,52.61,129,57,5,311,0
1,2023-10-01,67.55,54.04,357,142,6,169,1
1,2023-10-02,67.55,54.56,200,73,0,96,0
1,2023-10-03,67.55,55.04,258,96,1,306,0
1,2023-10-04,67.55,56.1,271,107,2,199,0
1,2023-10-05,67.55,57.65,229,83,3,116,0
1,2023-10-06,67.55,58.79,164,62,4,54,0
1,2023-10-07,67.55,58.56,124,45,5,684,0
1,2023-10-08,67.55,59.09,137,52,6,632,0
1,2023-10-09,67.55,60.58,193,74,0,558,0
1,2023-10-10,67.55,60.45,248,103,1,455,0
1,2023-10-11,67.55,60.79,261,86,2,369,0
1,2023-10-12,67.55,59.86,221,96,3,273,0
1,2023-10-13,67.55,59.07,158,50,4,223,0
1,2023-10-14,67.55,59.96,119,43,5,180,0
1,2023-10-15,67.55,60.57,132,51,6,129,0
1,2023-10-16,67.55,60.55,186,70,0,59,0
1,2023-10-17,67.55,60.5,239,59,1,481,0
1,2023-10-18,67.55,59.92,251,91,2,390,0
1,2023-10-19,67.55,60.64,213,75,3,315,0
1,2023-10-20,67.55,58.86,152,54,4,261,0
1,2023-10-21,67.55,57.4,115,47,5,214,0
1,2023-10-22,67.55,57.36,127,50,6,164,0
1,2023-10-23,67.55,58.02,179,64,0,100,0
1,2023-10-24,67.55,57.99,230,93,1,712,0
1,2023-10-25,67.55,54.04,605,247,2,465,1
1,2023-10-26,67.55,53.73,205,87,3,378,0
1,2023-10-27,67.55,54.26,147,61,4,317,0
1,2023-10-28,67.55,54.43,111,41,5,276,0
1,2023-10-29,67.55,56.05,123,45,6,231,0
1,2023-10-30,67.55,55.55,173,71,0,160,0
1,2023-10-31,67.55,54.91,222,92,1,68,0
1,2023-11-01,67.55,55.64,233,68,2,461,0
1,2023-11-02,67.55,55.76,197,78,3,383,0
1,2023-11-03,67.55,54.71,141,61,4,322,0
1,2023-11-04,67.55,54.66,107,40,5,282,0
1,2023-11-05,67.55,56.22,118,48,6,234,0
1,2023-11-06,67.55,55.49,166,64,0,170,0
1,2023-11-07,67.55,54.47,214,83,1,87,0
1,2023-11-08,67.55,53.42,225,87,2,307,0
1,2023-11-09,67.55,52.22,190,83,3,224,0
1,2023-11-10,67.55,54.04,340,145,4,79,1
1,2023-11-11,67.55,53.37,103,45,5,817,0
1,2023-11-12,67.55,54.55,114,45,6,772,0
1,2023-11-13,67.55,55.77,161,66,0,706,0
1,2023-11-14,67.55,55.67,207,79,1,627,0
1,2023-11-15,67.55,54.62,217,88,2,539,0
1,2023-11-16,67.55,56.07,184,71,3,468,0
1,2023-11-17,67.55,57.15,132,51,4,417,0
1,2023-11-18,67.55,55.69,100,41,5,376,0
1,2023-11-19,67.55,54.2,110,41,6,335,0
1,2023-11-20,67.55,54.4,155,72,0,263,0
1,2023-11-21,67.55,56.01,200,71,1,192,0
1,2023-11-22,67.55,56.9,210,73,2,119,0
1,2023-11-23,67.55,57.89,178,74,3,460,0
1,2023-11-24,67.55,57.47,128,52,4,408,0
1,2023-11-25,67.55,56.77,97,39,5,369,0
1,2023-11-26,67.55,56.53,107,43,6,326,0
1,2023-11-27,67.55,55.04,151,59,0,267,0
1,2023-11-28,67.55,53.72,194,72,1,195,0
1,2023-11-29,67.55,54.12,205,82,2,113,0
1,2023-11-30,67.55,52.76,174,66,3,469,0
1,2023-12-01,67.55,51.41,125,55,4,414,0
1,2023-12-02,67.55,54.04,235,93,5,321,1
1,2023-12-03,67.55,54.34,104,38,6,283,0
1,2023-12-04,67.55,53.46,147,57,0,226,0
1,2023-12-05,67.55,54.11,190,78,1,148,0
1,2023-12-06,67.55,54.72,200,75,2,73,0
1,2023-12-07,67.55,55.66,170,62,3,631,0
1,2023-12-08,67.55,56.67,122,48,4,583,0
1,2023-12-09,67.55,55.36,92,37,5,546,0
1,2023-12-10,67.55,54.19,102,39,6,507,0
1,2023-12-11,67.55,53.03,144,56,0,451,0
1,2023-12-12,67.55,53.96,186,75,1,376,0
1,2023-12-13,67.55,55.01,196,68,2,308,0
1,2023-12-14,67.55,54.81,167,58,3,250,0
1,2023-12-15,67.55,54.17,120,45,4,205,0
1,2023-12-16,67.55,53.43,91,35,5,170,0
1,2023-12-17,67.55,53.23,101,41,6,129,0
1,2023-12-18,67.55,54.47,142,63,0,66,0
1,2023-12-19,67.55,54.81,183,66,1,313,0
1,2023-12-20,67.55,56.33,193,74,2,239,0
1,2023-12-21,67.55,56.58,164,63,3,176,0
1,2023-12-22,67.55,58.28,118,41,4,135,0
1,2023-12-23,67.55,57.47,90,34,5,101,0
1,2023-12-24,67.55,54.04,250,97,6,691,1
1,2023-12-25,67.55,54.1,141,57,0,634,0
1,2023-12-26,67.55,53.38,182,68,1,566,0
1,2023-12-27,67.55,53.17,192,80,2,486,0
1,2023-12-28,67.55,54.67,163,72,3,414,0
1,2023-12-29,67.55,54.37,118,46,4,368,0
1,2023-12-30,67.55,53.08,89,37,5,331,0
1,2023-12-31,67.55,52.8,99,42,6,289,0
1,2024-01-01,67.55,53.32,140,54,0,235,0
1,2024-01-02,67.55,54.15,182,73,1,162,0
1,2024-01-03,67.55,54.04,480,162,2,345,1
1,2024-01-04,67.55,53.47,163,66,3,279,0
1,2024-01-05,67.55,53.16,118,44,4,235,0
1,2024-01-06,67.55,54.72,89,35,5,200,0
1,2024-01-07,67.55,54.86,99,41,6,159,0
1,2024-01-08,67.55,53.83,141,63,0,96,0
1,2024-01-09,67.55,54.66,182,77,1,639,0
1,2024-01-10,67.55,53.19,193,91,2,548,0
1,2024-01-11,67.55,52.01,164,63,3,485,0
1,2024-01-12,67.55,53.2,118,51,4,434,0
1,2024-01-13,67.55,51.7,90,37,5,397,0
1,2024-01-14,67.55,52.63,100,48,6,349,0
1,2024-01-15,67.55,52.03,142,54,0,295,0
1,2024-01-16,67.55,54.04,460,171,1,124,1
1,2024-01-17,67.55,53.15,195,75,2,779,0
1,2024-01-18,67.55,53.03,166,55,3,724,0
1,2024-01-19,67.55,54.09,120,46,4,678,0
1,2024-01-20,67.55,54.79,91,34,5,644,0
1,2024-01-21,67.55,54.05,102,41,6,603,0
1,2024-01-22,67.55,55.61,144,58,0,545,0
1,2024-01-23,67.55,55.78,187,84,1,461,0
1,2024-01-24,67.55,57.19,198,81,2,380,0
1,2024-01-25,67.55,58.49,169,61,3,319,0
1,2024-01-26,67.55,57.7,122,43,4,276,0
1,2024-01-27,67.55,57.41,93,37,5,239,0
1,2024-01-28,67.55,57.44,104,35,6,204,0
1,2024-01-29,67.55,56.69,147,65,0,139,0
1,2024-01-30,67.55,56.99,191,80,1,59,0
1,2024-01-31,67.55,56.95,202,59,2,376,0
1,2024-02-01,67.55,56.9,173,57,3,319,0
1,2024-02-02,67.55,57.8,125,52,4,267,0
1,2024-02-03,67.55,59.3,95,35,5,232,0
1,2024-02-04,67.55,61.01,106,42,6,190,0
1,2024-02-05,67.55,60.58,151,48,0,142,0
1,2024-02-06,67.55,60.26,196,68,1,74,0
1,2024-02-07,67.55,60.16,208,74,2,767,0
1,2024-02-08,67.55,59.75,178,66,3,701,0
1,2024-02-09,67.55,60.9,129,45,4,656,0
1,2024-02-10,67.55,60.88,98,37,5,619,0
1,2024-02-11,67.55,54.04,272,100,6,519,1
1,2024-02-12,67.55,54.33,155,61,0,458,0
1,2024-02-13,67.55,55.55,202,80,1,378,0
1,2024-02-14,67.55,55.64,214,87,2,291,0
1,2024-02-15,67.55,56.38,183,75,3,216,0
1,2024-02-16,67.55,56.9,133,46,4,170,0
1,2024-02-17,67.55,56.8,101,34,5,136,0
1,2024-02-18,67.55,56.25,113,48,6,88,0
1,2024-02-19,67.55,56.76,161,63,0,761,0
1,2024-02-20,67.55,57.35,209,75,1,686,0
1,2024-02-21,67.55,58.91,221,93,2,593,0
1,2024-02-22,67.55,60.28,189,70,3,523,0
1,2024-02-23,67.55,60.43,137,55,4,468,0
1,2024-02-24,67.55,59.47,104,39,5,429,0
1,2024-02-25,67.55,58.71,117,51,6,378,0
1,2024-02-26,67.55,57.27,166,72,0,306,0
1,2024-02-27,67.55,58.16,216,80,1,226,0
1,2024-02-28,67.55,56.77,229,95,2,131,0
1,2024-02-29,67.55,56.09,196,80,3,51,0
1,2024-03-01,67.55,54.04,355,51,4,466,1
1,2024-03-02,67.55,53.37,108,40,5,426,0
1,2024-03-03,67.55,52.24,121,52,6,374,0
1,2024-03-04,67.55,52.45,173,76,0,298,0
1,2024-03-05,67.55,51.41,224,79,1,219,0
1,2024-03-06,67.55,52.55,238,87,2,132,0
1,2024-03-07,67.55,51.73,204,70,3,62,0
1,2024-03-08,67.55,50.62,148,60,4,538,0
1,2024-03-09,67.55,50.5,113,49,5,489,0
1,2024-03-10,67.55,51.71,126,58,6,431,0
1,2024-03-11,67.55,51.05,179,74,0,357,0
1,2024-03-12,67.55,49.74,233,110,1,247,0
1,2024-03-13,67.55,51.2,247,91,2,156,0
1,2024-03-14,67.55,52.62,212,74,3,82,0
1,2024-03-15,67.55,52.48,153,62,4,474,0
1,2024-03-16,67.55,52.12,117,49,5,425,0
1,2024-03-17,67.55,51.3,131,54,6,371,0
1,2024-03-18,67.55,51.53,186,64,0,307,0
1,2024-03-19,67.55,50.9,242,99,1,208,0
1,2024-03-20,67.55,51.38,257,94,2,114,0
1,2024-03-21,67.55,51.58,220,95,3,670,0
1,2024-03-22,67.55,53.05,159,66,4,604,0
1,2024-03-23,67.55,53.83,121,45,5,559,0
1,2024-03-24,67.55,55.13,136,51,6,508,0
1,2024-03-25,67.55,54.24,193,70,0,438,0
1,2024-03-26,67.55,53.33,251,100,1,338,0
1,2024-03-27,67.55,52.53,267,116,2,222,0
1,2024-03-28,67.55,53.37,228,84,3,138,0
1,2024-03-29,67.55,52.21,165,70,4,68,0
1,2024-03-30,67.55,52.61,126,49,5,339,0
1,2024-03-31,67.55,52.42,141,53,6,286,0
1,2024-04-01,67.55,53.15,200,80,0,206,0
1,2024-04-02,67.55,52.5,260,97,1,109,0
1,2024-04-03,67.55,51.48,276,108,2,368,0
1,2024-04-04,67.55,52.64,237,87,3,281,0
1,2024-04-05,67.55,52.65,171,80,4,201,0
1,2024-04-06,67.55,51.59,131,54,5,147,0
1,2024-04-07,67.55,52.96,146,55,6,92,0
1,2024-04-08,67.55,52.31,208,86,0,751,0
1,2024-04-09,67.55,51.1,270,110,1,641,0
1,2024-04-10,67.55,50.0,286,118,2,523,0
1,2024-04-11,67.55,51.08,245,106,3,417,0
1,2024-04-12,67.55,52.55,177,76,4,341,0
1,2024-04-13,67.55,53.51,135,52,5,289,0
1,2024-04-14,67.55,54.44,151,57,6,232,0
1,2024-04-15,67.55,54.04,537,210,0,596,1
1,2024-04-16,67.55,53.61,279,91,1,505,0
1,2024-04-17,67.55,52.84,296,105,2,400,0
1,2024-04-18,67.55,53.28,253,113,3,287,0
1,2024-04-19,67.55,53.84,183,83,4,204,0
1,2024-04-20,67.55,54.23,140,54,5,150,0
1,2024-04-21,67.55,53.67,156,65,6,85,0
1,2024-04-22,67.55,54.15,222,85,0,625,0
1,2024-04-23,67.55,55.48,288,140,1,485,0
1,2024-04-24,67.55,55.17,305,131,2,354,0
1,2024-04-25,67.55,56.65,261,100,3,254,0
1,2024-04-26,67.55,56.62,189,67,4,187,0
1,2024-04-27,67.55,57.94,144,47,5,140,0
1,2024-04-28,67.55,57.78,161,62,6,78,0
1,2024-04-29,67.55,58.62,228,78,0,784,0
1,2024-04-30,67.55,58.93,297,98,1,686,0
1,2024-05-01,67.55,60.29,314,109,2,577,0
1,2024-05-02,67.55,61.5,269,89,3,488,0
1,2024-05-03,67.55,63.12,194,78,4,410,0
1,2024-05-04,67.55,63.84,148,55,5,355,0
1,2024-05-05,67.55,63.63,165,58,6,297,0
1,2024-05-06,67.55,63.11,235,93,0,204,0
1,2024-05-07,67.55,62.61,305,109,1,95,0
1,2024-05-08,67.55,63.15,323,95,2,331,0
1,2024-05-09,67.55,61.97,276,111,3,220,0
1,2024-05-10,67.55,63.26,199,73,4,147,0
1,2024-05-11,67.55,63.88,152,48,5,99,0
1,2024-05-12,67.55,64.25,170,58,6,351,0
1,2024-05-13,67.55,63.61,240,78,0,273,0
1,2024-05-14,67.55,64.71,312,96,1,177,0
1,2024-05-15,67.55,65.99,330,120,2,57,0
1,2024-05-16,67.55,66.33,282,57,3,716,0
1,2024-05-17,67.55,65.65,204,62,4,654,0
1,2024-05-18,67.55,67.23,155,54,5,600,0
1,2024-05-19,67.55,54.04,432,164,6,436,1
1,2024-05-20,67.55,52.89,246,95,0,341,0
1,2024-05-21,67.55,52.1,318,124,1,217,0
1,2024-05-22,67.55,52.6,337,127,2,90,0
1,2024-05-23,67.55,54.04,720,90,3,307,1
1,2024-05-24,67.55,54.98,208,76,4,231,0
1,2024-05-25,67.55,53.38,158,65,5,166,0
1,2024-05-26,67.55,52.18,177,71,6,95,0
1,2024-05-27,67.55,50.97,250,95,0,332,0
1,2024-05-28,67.55,51.82,324,123,1,209,0
1,2024-05-29,67.55,50.6,343,136,2,73,0
