Date,Product_ID,Base_Price,Current_Price,Day_Of_Week,Traffic_Views,Demand_Units
2026-01-13,15,149.81,164.49,1,16,4
2026-01-13,16,164.58,180.68,1,23,5
2026-01-13,17,28.26,30.92,1,13,5
2026-01-13,18,86.21,94.41,1,22,5
2026-01-13,19,934.29,1022.87,1,16,4
2026-01-13,20,151.39,165.62,1,7,4
2026-01-13,21,172.69,188.78,1,18,4
2026-01-13,22,127.45,139.17,1,29,7
2026-01-13,23,704.04,767.97,1,9,3
2026-01-13,24,44.35,48.24,1,11,2
2026-01-13,25,79.19,86.14,1,31,6
2026-01-13,26,38.58,41.87,1,19,4
2026-01-13,27,67.56,73.35,1,15,8
2026-01-13,28,84.16,91.41,1,8,2
2026-01-13,29,65.98,71.63,1,10,2
2026-01-13,30,169.06,183.91,1,18,6
2026-01-13,31,56.82,61.74,1,13,2
2026-01-13,32,130.37,141.89,1,19,4
2026-01-13,33,158.33,172.37,1,27,7
2026-01-13,34,118.15,128.61,1,12,3
2026-01-13,35,181.46,197.73,1,16,8
2026-01-13,36,174.32,190.05,1,33,7
2026-01-13,37,54.43,59.26,1,12,4
2026-01-13,38,82.43,89.87,1,18,6
2026-01-13,39,175.98,192.12,1,7,2
2026-01-13,40,73.53,80.17,1,15,9
2026-01-13,41,40.59,44.26,1,30,9
2026-01-13,42,171.93,187.96,1,10,4
2026-01-13,43,77.85,84.95,1,24,7
2026-01-13,44,119.79,130.86,1,20,5
2026-01-13,45,166.43,182.01,1,10,3
2026-01-13,46,77.9,85.19,1,26,5
2026-01-13,47,180.88,198.36,1,13,5
2026-01-13,48,193.29,212.26,1,19,7
2026-01-13,49,174.56,191.9,1,10,3
2026-01-13,50,109.5,120.52,1,12,5
2026-01-13,51,189.4,208.92,1,13,5
2026-01-13,52,48.97,54.02,1,8,4
2026-01-13,53,26.8,29.58,1,9,2
2026-01-13,54,108.75,120.35,1,9,4
2026-01-13,55,804.8,889.33,1,18,4
2026-01-13,56,797.98,882.89,1,25,5
2026-01-13,57,193.73,214.88,1,31,6
2026-01-13,58,49.7,55.06,1,31,8
2026-01-13,59,133.02,147.64,1,25,5
2026-01-13,60,35.55,39.39,1,10,4
2026-01-13,61,107.15,119.01,1,14,6
2026-01-13,62,55.9,62.09,1,22,6
2026-01-13,63,145.16,161.59,1,13,3
2026-01-13,64,166.8,185.98,1,27,5
2026-01-13,65,39.93,44.52,1,10,1
2026-01-13,66,154.52,172.82,1,28,6
2026-01-13,67,194.52,217.92,1,13,4
2026-01-13,68,101.18,113.4,1,8,1
2026-01-13,69,41.84,46.89,1,15,7
2026-01-13,70,23.17,25.96,1,27,8
2026-01-13,71,89.64,100.63,1,21,6
2026-01-13,72,313.37,351.87,1,18,4
2026-01-13,73,361.57,406.24,1,10,5
2026-01-13,74,65.49,73.66,1,19,5
2026-01-13,75,143.72,161.79,1,33,6
2026-01-13,76,152.9,172.03,1,9,2
2026-01-13,77,198.52,223.52,1,27,8
2026-01-13,78,165.06,185.87,1,16,6
2026-01-13,79,166.07,186.95,1,15,7
2026-01-13,80,66.17,74.43,1,29,8
2026-01-13,81,160.9,181.13,1,9,3
2026-01-13,82,101.84,114.7,1,7,2
2026-01-13,83,52.65,59.26,1,14,3
2026-01-13,84,99.51,111.96,1,23,8
2026-01-13,85,190.44,214.17,1,13,5
2026-01-13,86,170.12,191.18,1,17,4
2026-01-13,87,35.15,39.42,1,7,2
2026-01-13,88,100.69,112.93,1,26,7
2026-01-13,89,114.68,128.44,1,19,4
2026-01-13,90,143.55,160.5,1,8,3
2026-01-13,91,55.71,62.06,1,10,2
2026-01-13,92,121.73,135.47,1,30,8
2026-01-13,93,155.59,172.73,1,27,5
2026-01-13,94,28.08,31.02,1,7,2
2026-01-13,95,163.13,180.2,1,18,6
2026-01-13,96,40.61,44.67,1,8,2
2026-01-13,97,138.2,151.9,1,13,6
2026-01-13,98,186.16,204.19,1,15,3
2026-01-13,99,64.8,70.85,1,5,2
2026-01-13,100,174.78,190.98,1,16,3
2026-01-13,101,45.9,49.99,1,8,2
2026-01-13,102,171.27,186.55,1,25,7
2026-01-13,103,97.88,106.46,1,27,4
2026-01-14,1,348.0,378.49,2,30,6
2026-01-14,2,2499.0,2715.26,2,17,8
2026-01-14,3,1299.99,1412.88,2,20,7
2026-01-14,4,175.77,191.06,2,15,5
2026-01-14,5,108.4,117.71,2,5,2
2026-01-14,6,89.26,97.04,2,27,8
2026-01-14,7,194.69,212.08,2,22,5
2026-01-14,8,334.71,365.06,2,8,3
2026-01-14,9,49.42,53.83,2,15,7
2026-01-14,10,84.21,91.96,2,9,4
2026-01-14,11,163.22,178.74,2,13,2
2026-01-14,12,90.57,99.18,2,13,4
2026-01-14,13,151.78,166.41,2,16,3
2026-01-14,14,30.78,33.69,2,14,4
2026-01-14,15,149.81,164.49,2,32,8
2026-01-14,16,164.58,180.68,2,11,6
2026-01-14,17,28.26,30.92,2,21,5
2026-01-14,18,86.21,94.41,2,7,2
2026-01-14,19,934.29,1022.87,2,22,5
2026-01-14,20,151.39,165.62,2,17,3
2026-01-14,21,172.69,188.78,2,25,8
2026-01-14,22,127.45,139.17,2,12,3
2026-01-14,23,704.04,767.97,2,20,5
2026-01-14,24,44.35,48.24,2,11,3
2026-01-14,25,79.19,86.14,2,18,3
2026-01-14,26,38.58,41.87,2,17,7
2026-01-14,27,67.56,73.35,2,8,2
2026-01-14,28,84.16,91.41,2,9,4
2026-01-14,29,65.98,71.63,2,30,7
2026-01-14,30,169.06,183.91,2,20,5
2026-01-14,31,56.82,61.74,2,13,4
2026-01-14,32,130.37,141.89,2,23,4
2026-01-14,33,158.33,172.37,2,28,8
2026-01-14,34,118.15,128.61,2,14,7
2026-01-14,35,181.46,197.73,2,16,4
2026-01-14,36,174.32,190.05,2,26,7
2026-01-14,37,54.43,59.26,2,25,8
2026-01-14,38,82.43,89.87,2,7,1
2026-01-14,39,175.98,192.12,2,27,8
2026-01-14,40,73.53,80.17,2,32,6
2026-01-14,41,40.59,44.26,2,8,2
2026-01-14,42,171.93,187.96,2,8,2
2026-01-14,43,77.85,84.95,2,15,5
2026-01-14,44,119.79,130.86,2,18,4
2026-01-14,45,166.43,182.01,2,28,6
2026-01-14,46,77.9,85.19,2,32,6
2026-01-14,47,180.88,198.36,2,15,3
2026-01-14,48,193.29,212.26,2,10,4
2026-01-14,49,174.56,191.9,2,18,5
2026-01-14,50,109.5,120.52,2,6,2
2026-01-14,51,189.4,208.92,2,5,2
2026-01-14,52,48.97,54.02,2,25,5
2026-01-14,53,26.8,29.58,2,15,4
2026-01-14,54,108.75,120.35,2,28,9
2026-01-14,55,804.8,889.33,2,17,3
2026-01-14,56,797.98,882.89,2,15,4
2026-01-14,57,193.73,214.88,2,16,4
2026-01-14,58,49.7,55.06,2,18,6
2026-01-14,59,133.02,147.64,2,9,2
2026-01-14,60,35.55,39.39,2,9,3
2026-01-14,61,107.15,119.01,2,25,7
2026-01-14,62,55.9,62.09,2,8,2
2026-01-14,63,145.16,161.59,2,14,4
2026-01-14,64,166.8,185.98,2,33,7
2026-01-14,65,39.93,44.52,2,34,6
2026-01-14,66,154.52,172.82,2,8,2
2026-01-14,67,194.52,217.92,2,4,1
2026-01-14,68,101.18,113.4,2,8,2
2026-01-14,69,41.84,46.89,2,25,9
2026-01-14,70,23.17,25.96,2,33,7
2026-01-14,71,89.64,100.63,2,8,2
2026-01-14,72,313.37,351.87,2,26,7
2026-01-14,73,361.57,406.24,2,18,6
2026-01-14,74,65.49,73.66,2,24,6
2026-01-14,75,143.72,161.79,2,14,4
2026-01-14,76,152.9,172.03,2,7,2
2026-01-14,77,198.52,223.52,2,8,1
2026-01-14,78,165.06,185.87,2,12,6
2026-01-14,79,166.07,186.95,2,11,2
2026-01-14,80,66.17,74.43,2,6,2
2026-01-14,81,160.9,181.13,2,13,4
2026-01-14,82,101.84,114.7,2,10,4
2026-01-14,83,52.65,59.26,2,18,7
2026-01-14,84,99.51,111.96,2,20,7
2026-01-14,85,190.44,214.17,2,22,4
2026-01-14,86,170.12,191.18,2,13,6
2026-01-14,87,35.15,39.42,2,15,3
2026-01-14,88,100.69,112.93,2,9,3
2026-01-14,89,114.68,128.44,2,21,7
2026-01-14,90,143.55,160.5,2,7,3
2026-01-14,91,55.71,62.06,2,35,7
2026-01-14,92,121.73,135.47,2,6,2
2026-01-14,93,155.59,172.73,2,20,3
2026-01-14,94,28.08,31.02,2,15,3
2026-01-14,95,163.13,180.2,2,9,2
2026-01-14,96,40.61,44.67,2,23,5
2026-01-14,97,138.2,151.9,2,14,3
2026-01-14,98,186.16,204.19,2,16,5
2026-01-14,99,64.8,70.85,2,19,3
2026-01-14,100,174.78,190.98,2,30,8
2026-01-14,101,45.9,49.99,2,13,3
2026-01-14,102,171.27,186.55,2,13,3
2026-01-14,103,97.88,106.46,2,15,3
2026-01-15,1,348.0,378.49,3,7,2
2026-01-15,2,2499.0,2715.26,3,9,4
2026-01-15,3,1299.99,1412.88,3,16,6
2026-01-15,4,175.77,191.06,3,12,3
2026-01-15,5,108.4,117.71,3,30,8
2026-01-15,6,89.26,97.04,3,32,8
2026-01-15,7,194.69,212.08,3,16,7
2026-01-15,8,334.71,365.06,3,15,3
2026-01-15,9,49.42,53.83,3,11,3
2026-01-15,10,84.21,91.96,3,24,5
2026-01-15,11,163.22,178.74,3,15,4
2026-01-15,12,90.57,99.18,3,22,3
2026-01-15,13,151.78,166.41,3,24,6
2026-01-15,14,30.78,33.69,3,22,4
2026-01-15,15,149.81,164.49,3,21,6
2026-01-15,16,164.58,180.68,3,22,6
2026-01-15,17,28.26,30.92,3,24,4
2026-01-15,18,86.21,94.41,3,12,2
2026-01-15,19,934.29,1022.87,3,23,5
2026-01-15,20,151.39,165.62,3,8,3
2026-01-15,21,172.69,188.78,3,17,4
2026-01-15,22,127.45,139.17,3,17,5
2026-01-15,23,704.04,767.97,3,6,2
2026-01-15,24,44.35,48.24,3,29,7
2026-01-15,25,79.19,86.14,3,9,2
2026-01-15,26,38.58,41.87,3,22,6
2026-01-15,27,67.56,73.35,3,16,5
2026-01-15,28,84.16,91.41,3,8,3
2026-01-15,29,65.98,71.63,3,33,5
2026-01-15,30,169.06,183.91,3,23,6
2026-01-15,31,56.82,61.74,3,24,7
2026-01-15,32,130.37,141.89,3,21,5
2026-01-15,33,158.33,172.37,3,27,5
2026-01-15,34,118.15,128.61,3,18,4
2026-01-15,35,181.46,197.73,3,14,3
2026-01-15,36,174.32,190.05,3,25,5
2026-01-15,37,54.43,59.26,3,17,5
2026-01-15,38,82.43,89.87,3,15,5
2026-01-15,39,175.98,192.12,3,27,6
2026-01-15,40,73.53,80.17,3,8,2
2026-01-15,41,40.59,44.26,3,27,6
2026-01-15,42,171.93,187.96,3,28,6
2026-01-15,43,77.85,84.95,3,11,3
2026-01-15,44,119.79,130.86,3,22,5
2026-01-15,45,166.43,182.01,3,23,5
2026-01-15,46,77.9,85.19,3,24,5
2026-01-15,47,180.88,198.36,3,11,5
2026-01-15,48,193.29,212.26,3,15,7
2026-01-15,49,174.56,191.9,3,24,4
2026-01-15,50,109.5,120.52,3,18,4
2026-01-15,51,189.4,208.92,3,15,3
2026-01-15,52,48.97,54.02,3,10,2
2026-01-15,53,26.8,29.58,3,13,3
2026-01-15,54,108.75,120.35,3,34,8
2026-01-15,55,804.8,889.33,3,23,5
2026-01-15,56,797.98,882.89,3,23,6
2026-01-15,57,193.73,214.88,3,5,2
2026-01-15,58,49.7,55.06,3,12,3
2026-01-15,59,133.02,147.64,3,10,2
2026-01-15,60,35.55,39.39,3,31,5
2026-01-15,61,107.15,119.01,3,20,4
2026-01-15,62,55.9,62.09,3,30,7
2026-01-15,63,145.16,161.59,3,34,6
2026-01-15,64,166.8,185.98,3,20,4
2026-01-15,65,39.93,44.52,3,16,5
2026-01-15,66,154.52,172.82,3,16,4
2026-01-15,67,194.52,217.92,3,10,2
2026-01-15,68,101.18,113.4,3,7,2
2026-01-15,69,41.84,46.89,3,19,6
2026-01-15,70,23.17,25.96,3,16,4
2026-01-15,71,89.64,100.63,3,11,5
2026-01-15,72,313.37,351.87,3,26,5
2026-01-15,73,361.57,406.24,3,26,5
2026-01-15,74,65.49,73.66,3,14,3
2026-01-15,75,143.72,161.79,3,30,6
2026-01-15,76,152.9,172.03,3,12,5
2026-01-15,77,198.52,223.52,3,21,4
2026-01-15,78,165.06,185.87,3,18,3
2026-01-15,79,166.07,186.95,3,19,6
2026-01-15,80,66.17,74.43,3,31,7
2026-01-15,81,160.9,181.13,3,29,6
2026-01-15,82,101.84,114.7,3,17,3
2026-01-15,83,52.65,59.26,3,17,6
2026-01-15,84,99.51,111.96,3,8,2
2026-01-15,85,190.44,214.17,3,17,3
2026-01-15,86,170.12,191.18,3,27,7
2026-01-15,87,35.15,39.42,3,27,6
2026-01-15,88,100.69,112.93,3,12,2
2026-01-15,89,114.68,128.44,3,23,6
2026-01-15,90,143.55,160.5,3,7,3
2026-01-15,91,55.71,62.06,3,14,5
2026-01-15,92,121.73,135.47,3,18,6
2026-01-15,93,155.59,172.73,3,21,4
2026-01-15,94,28.08,31.02,3,20,4
2026-01-15,95,163.13,180.2,3,26,6
2026-01-15,96,40.61,44.67,3,33,8
2026-01-15,97,138.2,151.9,3,28,7
2026-01-15,98,186.16,204.19,3,23,4
2026-01-15,99,64.8,70.85,3,17,6
2026-01-15,100,174.78,190.98,3,26,6
2026-01-15,101,45.9,49.99,3,24,5
2026-01-15,102,171.27,186.55,3,12,5
2026-01-15,103,97.88,106.46,3,9,2
2026-01-16,1,348.0,378.49,4,15,8
2026-01-16,2,2499.0,2715.26,4,29,8
2026-01-16,3,1299.99,1412.88,4,9,4
2026-01-16,4,175.77,191.06,4,9,2
2026-01-16,5,108.4,117.71,4,18,4
2026-01-16,6,89.26,97.04,4,23,7
2026-01-16,7,194.69,212.08,4,10,4
2026-01-16,8,334.71,365.06,4,12,4
2026-01-16,9,49.42,53.83,4,19,7
2026-01-16,10,84.21,91.96,4,8,2
2026-01-16,11,163.22,178.74,4,34,8
2026-01-16,12,90.57,99.18,4,10,2
2026-01-16,13,151.78,166.41,4,17,4
2026-01-16,14,30.78,33.69,4,10,3
2026-01-16,15,149.81,164.49,4,13,3
2026-01-16,16,164.58,180.68,4,19,5
2026-01-16,17,28.26,30.92,4,12,5
2026-01-16,18,86.21,94.41,4,18,6
2026-01-16,19,934.29,1022.87,4,29,7
2026-01-16,20,151.39,165.62,4,17,8
2026-01-16,21,172.69,188.78,4,8,2
2026-01-16,22,127.45,139.17,4,10,2
2026-01-16,23,704.04,767.97,4,26,6
2026-01-16,24,44.35,48.24,4,7,1
2026-01-16,25,79.19,86.14,4,20,7
2026-01-16,26,38.58,41.87,4,14,3
2026-01-16,27,67.56,73.35,4,6,3
2026-01-16,28,84.16,91.41,4,16,3
2026-01-16,29,65.98,71.63,4,9,3
2026-01-16,30,169.06,183.91,4,11,3
2026-01-16,31,56.82,61.74,4,5,2
2026-01-16,32,130.37,141.89,4,35,7
2026-01-16,33,158.33,172.37,4,13,3
2026-01-16,34,118.15,128.61,4,32,6
2026-01-16,35,181.46,197.73,4,21,5
2026-01-16,36,174.32,190.05,4,15,3
2026-01-16,37,54.43,59.26,4,7,1
2026-01-16,38,82.43,89.87,4,22,7
2026-01-16,39,175.98,192.12,4,18,4
2026-01-16,40,73.53,80.17,4,28,6
2026-01-16,41,40.59,44.26,4,15,4
2026-01-16,42,171.93,187.96,4,17,5
2026-01-16,43,77.85,84.95,4,15,8
2026-01-16,44,119.79,130.86,4,35,8
2026-01-16,45,166.43,182.01,4,13,5
2026-01-16,46,77.9,85.19,4,9,1
2026-01-16,47,180.88,198.36,4,24,5
2026-01-16,48,193.29,212.26,4,7,3
2026-01-16,49,174.56,191.9,4,7,2
2026-01-16,50,109.5,120.52,4,7,2
2026-01-16,51,189.4,208.92,4,37,6
2026-01-16,52,48.97,54.02,4,19,6
2026-01-16,53,26.8,29.58,4,11,3
2026-01-16,54,108.75,120.35,4,28,6
2026-01-16,55,804.8,889.33,4,20,6
2026-01-16,56,797.98,882.89,4,5,1
2026-01-16,57,193.73,214.88,4,6,2
2026-01-16,58,49.7,55.06,4,26,5
2026-01-16,59,133.02,147.64,4,8,2
2026-01-16,60,35.55,39.39,4,15,5
2026-01-16,61,107.15,119.01,4,10,2
2026-01-16,62,55.9,62.09,4,7,2
2026-01-16,63,145.16,161.59,4,11,3
2026-01-16,64,166.8,185.98,4,13,6
2026-01-16,65,39.93,44.52,4,16,4
2026-01-16,66,154.52,172.82,4,27,7
2026-01-16,67,194.52,217.92,4,25,5
2026-01-16,68,101.18,113.4,4,6,3
2026-01-16,69,41.84,46.89,4,11,3
2026-01-16,70,23.17,25.96,4,19,8
2026-01-16,71,89.64,100.63,4,4,2
2026-01-16,72,313.37,351.87,4,9,3
2026-01-16,73,361.57,406.24,4,20,6
2026-01-16,74,65.49,73.66,4,25,5
2026-01-16,75,143.72,161.79,4,23,6
2026-01-16,76,152.9,172.03,4,22,5
2026-01-16,77,198.52,223.52,4,7,1
2026-01-16,78,165.06,185.87,4,12,2
2026-01-16,79,166.07,186.95,4,20,6
2026-01-16,80,66.17,74.43,4,16,5
2026-01-16,81,160.9,181.13,4,6,3
2026-01-16,82,101.84,114.7,4,16,4
2026-01-16,83,52.65,59.26,4,15,6
2026-01-16,84,99.51,111.96,4,33,7
2026-01-16,85,190.44,214.17,4,26,8
2026-01-16,86,170.12,191.18,4,10,4
2026-01-16,87,35.15,39.42,4,27,5
2026-01-16,88,100.69,112.93,4,10,3
